day,month,year,hour,n-passengers
27,1,2020,5,132.0
27,1,2020,6,2697.0
27,1,2020,7,10941.0
27,1,2020,8,12998.0
27,1,2020,9,8857.0
27,1,2020,10,8439.0
27,1,2020,11,9758.0
27,1,2020,12,12317.0
27,1,2020,13,13114.0
27,1,2020,14,14696.0
27,1,2020,15,16423.0
27,1,2020,16,17763.0
27,1,2020,17,22852.0
27,1,2020,18,22501.0
27,1,2020,19,12118.0
27,1,2020,20,6204.0
27,1,2020,21,4012.0
27,1,2020,22,2716.0
27,1,2020,23,1364.0
28,1,2020,0,341.0
28,1,2020,1,16.0
28,1,2020,2,3.0
28,1,2020,3,6.0
28,1,2020,4,18.0
28,1,2020,5,99.0
28,1,2020,6,2509.0
28,1,2020,7,10371.0
28,1,2020,8,12472.0
28,1,2020,9,8171.0
28,1,2020,10,7339.0
28,1,2020,11,8634.0
28,1,2020,12,10839.0
28,1,2020,13,11799.0
28,1,2020,14,13714.0
28,1,2020,15,14890.0
28,1,2020,16,16598.0
28,1,2020,17,20741.0
28,1,2020,18,22203.0
28,1,2020,19,12269.0
28,1,2020,20,5994.0
28,1,2020,21,4166.0
28,1,2020,22,2795.0
28,1,2020,23,1403.0
29,1,2020,0,455.0
29,1,2020,1,18.0
29,1,2020,2,2.0
29,1,2020,3,1.0
29,1,2020,4,8.0
29,1,2020,5,109.0
29,1,2020,6,2614.0
29,1,2020,7,10202.0
29,1,2020,8,12930.0
29,1,2020,9,9010.0
29,1,2020,10,8891.0
29,1,2020,11,10785.0
29,1,2020,12,13427.0
29,1,2020,13,14621.0
29,1,2020,14,15646.0
29,1,2020,15,16479.0
29,1,2020,16,18399.0
29,1,2020,17,22706.0
29,1,2020,18,22318.0
29,1,2020,19,11871.0
29,1,2020,20,5686.0
29,1,2020,21,3823.0
29,1,2020,22,2739.0
29,1,2020,23,1409.0
30,1,2020,0,425.0
30,1,2020,1,32.0
30,1,2020,2,7.0
30,1,2020,3,11.0
30,1,2020,4,30.0
30,1,2020,5,125.0
30,1,2020,6,2522.0
30,1,2020,7,9943.0
30,1,2020,8,12528.0
30,1,2020,9,8415.0
30,1,2020,10,7467.0
30,1,2020,11,8818.0
30,1,2020,12,10671.0
30,1,2020,13,10676.0
30,1,2020,14,11399.0
30,1,2020,15,12589.0
30,1,2020,16,14868.0
30,1,2020,17,20611.0
30,1,2020,18,22031.0
30,1,2020,19,14822.0
30,1,2020,20,8810.0
30,1,2020,21,4526.0
30,1,2020,22,2978.0
30,1,2020,23,1652.0
31,1,2020,0,537.0
31,1,2020,1,28.0
31,1,2020,2,3.0
31,1,2020,3,
31,1,2020,4,10.0
31,1,2020,5,100.0
31,1,2020,6,2548.0
31,1,2020,7,10013.0
31,1,2020,8,12794.0
31,1,2020,9,8569.0
31,1,2020,10,8732.0
31,1,2020,11,10843.0
31,1,2020,12,13462.0
31,1,2020,13,13515.0
31,1,2020,14,15899.0
31,1,2020,15,17879.0
31,1,2020,16,19434.0
31,1,2020,17,23443.0
31,1,2020,18,24621.0
31,1,2020,19,14994.0
31,1,2020,20,7597.0
31,1,2020,21,4834.0
31,1,2020,22,3478.0
31,1,2020,23,2290.0
1,2,2020,0,891.0
1,2,2020,1,12.0
1,2,2020,2,3.0
1,2,2020,3,2.0
1,2,2020,4,20.0
1,2,2020,5,50.0
1,2,2020,6,1420.0
1,2,2020,7,4613.0
1,2,2020,8,5982.0
1,2,2020,9,6662.0
1,2,2020,10,7720.0
1,2,2020,11,10321.0
1,2,2020,12,14199.0
1,2,2020,13,17581.0
1,2,2020,14,19632.0
1,2,2020,15,21116.0
1,2,2020,16,21846.0
1,2,2020,17,22445.0
1,2,2020,18,20765.0
1,2,2020,19,15294.0
1,2,2020,20,8580.0
1,2,2020,21,5266.0
1,2,2020,22,4146.0
1,2,2020,23,2517.0
2,2,2020,0,1031.0
2,2,2020,1,50.0
2,2,2020,2,7.0
2,2,2020,3,13.0
2,2,2020,4,36.0
2,2,2020,5,24.0
2,2,2020,6,443.0
2,2,2020,7,1578.0
2,2,2020,8,2914.0
2,2,2020,9,4337.0
2,2,2020,10,6438.0
2,2,2020,11,8797.0
2,2,2020,12,12946.0
2,2,2020,13,17256.0
2,2,2020,14,20662.0
2,2,2020,15,23152.0
2,2,2020,16,22912.0
2,2,2020,17,23750.0
2,2,2020,18,20556.0
2,2,2020,19,14817.0
2,2,2020,20,8818.0
2,2,2020,21,5141.0
2,2,2020,22,2949.0
2,2,2020,23,1598.0
3,2,2020,0,460.0
3,2,2020,1,40.0
3,2,2020,2,10.0
3,2,2020,3,2.0
3,2,2020,4,13.0
3,2,2020,5,140.0
3,2,2020,6,3063.0
3,2,2020,7,12930.0
3,2,2020,8,14578.0
3,2,2020,9,9477.0
3,2,2020,10,8407.0
3,2,2020,11,9307.0
3,2,2020,12,10859.0
3,2,2020,13,10861.0
3,2,2020,14,11788.0
3,2,2020,15,13752.0
3,2,2020,16,14604.0
3,2,2020,17,19473.0
3,2,2020,18,20707.0
3,2,2020,19,11311.0
3,2,2020,20,5754.0
3,2,2020,21,3754.0
3,2,2020,22,2324.0
3,2,2020,23,1173.0
4,2,2020,0,347.0
4,2,2020,1,13.0
4,2,2020,2,3.0
4,2,2020,3,7.0
4,2,2020,4,15.0
4,2,2020,5,81.0
4,2,2020,6,3081.0
4,2,2020,7,12686.0
4,2,2020,8,14469.0
4,2,2020,9,9420.0
4,2,2020,10,8399.0
4,2,2020,11,9590.0
4,2,2020,12,11259.0
4,2,2020,13,11729.0
4,2,2020,14,13221.0
4,2,2020,15,14905.0
4,2,2020,16,16543.0
4,2,2020,17,21043.0
4,2,2020,18,22031.0
4,2,2020,19,12646.0
4,2,2020,20,6551.0
4,2,2020,21,4384.0
4,2,2020,22,2918.0
4,2,2020,23,1479.0
5,2,2020,0,438.0
5,2,2020,1,12.0
5,2,2020,2,2.0
5,2,2020,3,5.0
5,2,2020,4,11.0
5,2,2020,5,94.0
5,2,2020,6,2877.0
5,2,2020,7,12228.0
5,2,2020,8,14027.0
5,2,2020,9,8972.0
5,2,2020,10,7063.0
5,2,2020,11,7295.0
5,2,2020,12,8793.0
5,2,2020,13,9451.0
5,2,2020,14,10480.0
5,2,2020,15,12095.0
5,2,2020,16,12393.0
5,2,2020,17,15092.0
5,2,2020,18,16034.0
5,2,2020,19,8079.0
5,2,2020,20,4212.0
5,2,2020,21,2913.0
5,2,2020,22,2095.0
5,2,2020,23,1076.0
6,2,2020,0,361.0
6,2,2020,1,18.0
6,2,2020,2,3.0
6,2,2020,3,14.0
6,2,2020,4,18.0
6,2,2020,5,90.0
6,2,2020,6,2828.0
6,2,2020,7,11849.0
6,2,2020,8,13272.0
6,2,2020,9,8005.0
6,2,2020,10,6264.0
6,2,2020,11,6337.0
6,2,2020,12,7133.0
6,2,2020,13,7266.0
6,2,2020,14,7823.0
6,2,2020,15,9171.0
6,2,2020,16,10125.0
6,2,2020,17,14709.0
6,2,2020,18,15746.0
6,2,2020,19,8455.0
6,2,2020,20,4053.0
6,2,2020,21,2966.0
6,2,2020,22,2027.0
6,2,2020,23,1161.0
7,2,2020,0,321.0
7,2,2020,1,20.0
7,2,2020,2,1.0
7,2,2020,3,
7,2,2020,4,8.0
7,2,2020,5,99.0
7,2,2020,6,2829.0
7,2,2020,7,11894.0
7,2,2020,8,13136.0
7,2,2020,9,8101.0
7,2,2020,10,6700.0
7,2,2020,11,7387.0
7,2,2020,12,9076.0
7,2,2020,13,8754.0
7,2,2020,14,10678.0
7,2,2020,15,13126.0
7,2,2020,16,14162.0
7,2,2020,17,16725.0
7,2,2020,18,17999.0
7,2,2020,19,10469.0
7,2,2020,20,5440.0
7,2,2020,21,3521.0
7,2,2020,22,2850.0
7,2,2020,23,1664.0
8,2,2020,0,650.0
8,2,2020,1,53.0
8,2,2020,2,19.0
8,2,2020,3,4.0
8,2,2020,4,16.0
8,2,2020,5,38.0
8,2,2020,6,1249.0
8,2,2020,7,4270.0
8,2,2020,8,5626.0
8,2,2020,9,5358.0
8,2,2020,10,5331.0
8,2,2020,11,6675.0
8,2,2020,12,8559.0
8,2,2020,13,10717.0
8,2,2020,14,12437.0
8,2,2020,15,13663.0
8,2,2020,16,13932.0
8,2,2020,17,12969.0
8,2,2020,18,12435.0
8,2,2020,19,14655.0
8,2,2020,20,5899.0
8,2,2020,21,3658.0
8,2,2020,22,3271.0
8,2,2020,23,1964.0
9,2,2020,0,761.0
9,2,2020,1,50.0
9,2,2020,2,7.0
9,2,2020,3,1.0
9,2,2020,4,15.0
9,2,2020,5,20.0
9,2,2020,6,386.0
9,2,2020,7,1523.0
9,2,2020,8,2645.0
9,2,2020,9,3754.0
9,2,2020,10,4687.0
9,2,2020,11,6170.0
9,2,2020,12,8626.0
9,2,2020,13,11113.0
9,2,2020,14,12830.0
9,2,2020,15,13548.0
9,2,2020,16,14265.0
9,2,2020,17,14512.0
9,2,2020,18,12598.0
9,2,2020,19,9590.0
9,2,2020,20,6059.0
9,2,2020,21,3943.0
9,2,2020,22,2358.0
9,2,2020,23,1119.0
10,2,2020,0,377.0
10,2,2020,1,23.0
10,2,2020,2,5.0
10,2,2020,3,8.0
10,2,2020,4,10.0
10,2,2020,5,117.0
10,2,2020,6,3085.0
10,2,2020,7,13217.0
10,2,2020,8,15163.0
10,2,2020,9,9664.0
10,2,2020,10,8260.0
10,2,2020,11,8949.0
10,2,2020,12,10557.0
10,2,2020,13,11217.0
10,2,2020,14,12177.0
10,2,2020,15,14424.0
10,2,2020,16,15350.0
10,2,2020,17,19628.0
10,2,2020,18,21101.0
10,2,2020,19,12057.0
10,2,2020,20,6190.0
10,2,2020,21,3959.0
10,2,2020,22,2482.0
10,2,2020,23,1280.0
11,2,2020,0,309.0
11,2,2020,1,13.0
11,2,2020,2,8.0
11,2,2020,3,4.0
11,2,2020,4,10.0
11,2,2020,5,114.0
11,2,2020,6,2957.0
11,2,2020,7,12565.0
11,2,2020,8,14429.0
11,2,2020,9,9225.0
11,2,2020,10,7618.0
11,2,2020,11,8015.0
11,2,2020,12,9847.0
11,2,2020,13,10015.0
11,2,2020,14,10682.0
11,2,2020,15,12398.0
11,2,2020,16,14629.0
11,2,2020,17,19223.0
11,2,2020,18,21264.0
11,2,2020,19,12590.0
11,2,2020,20,6618.0
11,2,2020,21,4378.0
11,2,2020,22,3142.0
11,2,2020,23,1652.0
12,2,2020,0,470.0
12,2,2020,1,11.0
12,2,2020,2,
12,2,2020,3,1.0
12,2,2020,4,12.0
12,2,2020,5,112.0
12,2,2020,6,2811.0
12,2,2020,7,12875.0
12,2,2020,8,14597.0
