day,month,year,hour,avg-temp,avg-humidity,avg-precip,avg-wind,avg-windir
10,6,2020,15,24.266065135135136,59.50221635135134,0.8006203333333333,6.519658000000001,84.748645
10,6,2020,16,22.95705418918919,65.52153716216216,1.1433926666666667,6.290351285714285,87.66931885714285
10,6,2020,17,21.749835135135132,72.02412594594594,1.1937786666666668,5.683306428571429,97.31728157142857
10,6,2020,18,20.787982837837838,78.74910094594594,0.9591195,5.616589857142857,146.64611714285715
10,6,2020,19,20.23636945945946,83.76739243243243,1.0846548333333332,5.9898929999999995,171.6257762857143
10,6,2020,20,19.99208472972973,87.30624013513513,0.9469145,5.7999350000000005,116.09777028571429
10,6,2020,21,19.827783918918918,88.34438635135135,1.0138695,5.229638857142858,112.4351802857143
10,6,2020,22,19.577775405405408,89.19195378378377,0.8462956666666667,4.763780000000001,151.53468114285715
10,6,2020,23,19.211038378378376,90.33303932432432,0.9964205084745762,4.6417842857142855,146.07469957142857
11,6,2020,0,18.93556445945946,91.10153905405406,1.6177091525423728,4.620629714285715,209.35961757142857
11,6,2020,1,18.72741027027027,91.60652662162161,1.6527506779661016,4.623950857142857,223.0146007142857
11,6,2020,2,18.57871418918919,91.40954479452056,2.0685061016949153,4.675236857142857,215.784879
11,6,2020,3,18.975926712328764,90.5448509589041,1.1463583050847457,4.5990586956521735,189.31306304347828
11,6,2020,4,20.246606486486485,86.17879986486487,0.02878220338983051,4.845275285714285,192.98756228571426
11,6,2020,5,21.67585918918919,79.04615567567566,0.009778813559322034,4.825920999999999,189.73498757142858
11,6,2020,6,23.239915675675675,71.77350837837838,0.1223942372881356,5.1318275714285715,203.80667728571427
11,6,2020,7,24.46914081081081,66.9141427027027,0.6235479661016949,5.705116571428571,207.36668428571429
11,6,2020,8,25.201809324324323,65.38229283783784,0.5593206779661016,5.982646,195.8995627142857
11,6,2020,9,25.61417068493151,63.596914931506845,0.39884655172413797,6.327807536231885,203.3396856521739
11,6,2020,10,26.15819635135135,59.99714432432432,0.3315286440677966,6.370198142857142,203.22900785714285
11,6,2020,11,26.4331677027027,56.847168783783786,0.0012801694915254237,6.294354142857142,198.24226714285714
